Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Untitled,Mateo López,38678,"(Colombian, born 1978)",(Colombian),(1978),(0),(Male),(2008-10),,"3 1/8 x 13 x 14 15/16"" (8 x 33 x 38 cm)",Latin American and Caribbean Fund,33.2011.92.a-b,Installation,Drawings & Prints,2010-10-13,N,141998,,,,38.0,,8.0,,,33.0,,
La Rosa del Herbolario,Luisa Zuloaga de Palacios,4471,"(Venezuelan, 1923–1990)",(Venezuelan),(1923),(1990),(Female),(1969),11 collagraphs: 10 printed in color and 1 printed without ink (title page),"page  12 15/16 x 9 13/16"" (33 x 25 cm)
Prints:  various dimensions.",Monroe Wheeler Fund,204.1970.1-11,Illustrated Book,Drawings & Prints,1970-05-12,Y,13473,http://www.moma.org/collection/works/13473,,,,,33.0,,,25.0,,
A SQUIRREL MONKEY,Robert Andrew Parker,6618,"(American, born 1927)",(American),(1927),(0),(Male),"(September 7-19, 1967)","Lithograph, printed in color","irreg composition  25 1/2 x 19 3/16"" (64.7 x 48.7 cm)
sheet  27 15/16 x 20 15/16"" (71 x 53.3 cm)","Gift of Kleiner, Bell & Co.",915.1968,Print,Drawings & Prints,1974-01-10,N,74775,,,,,,64.7,,,48.7,,
Untitled,Manuel Angeles Ortiz,183,"(Spanish, 1896–1984)",(Spanish),(1895),(1984),(Male),1942,,,Inter-American Fund,758.1942.5,Print,Drawings & Prints,,N,84673,,,,,,,,,,,
"Arches, Egypt",Dorothea Lange,3373,"(American, 1895–1965)",(American),(1895),(1965),(Female),1963,"Gelatin silver print, printed 1965","11 5/16 × 17 3/16"" (28.7 × 43.7 cm)",Purchase,822.1968,Photograph,Photography,1967-11-21,Y,56574,http://www.moma.org/collection/works/56574,http://www.moma.org/media/W1siZiIsIjI1OTM1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=77cd2e9f4ace28ec,,,,28.7,,,43.7,,
Excursion,Lyonel Feininger,1832,"(American, 1871–1956)",(American),(1871),(1956),(Male),1940,Watercolor and pen and ink on paper,"12 5/8 x 18 7/8"" (32.1 x 47.9 cm)",Gift of Julia Feininger,136.1966,Drawing,Drawings & Prints,1966-02-08,Y,34610,http://www.moma.org/collection/works/34610,http://www.moma.org/media/W1siZiIsIjEzMzkyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a29bf83cb2824eb6,,,,32.0675641351,,,47.9,,
Phynancial Horse. Design for the play Ubu Roi,David Hockney,2678,"(British, born 1937)",(British),(1937),(0),(Male),1966,Crayon and pencil on paper,"Sheet (irreg.): 10 x 15"" (25.4 x 38.1 cm)",Gift of the Trustees of the Pastorale Fund,481.1967.27,Drawing,Drawings & Prints,1967-06-06,Y,85835,http://www.moma.org/collection/works/85835,http://www.moma.org/media/W1siZiIsIjE2NjMzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a5750cfcdd31cec0,,,,25.4001,,,38.1001,,
Plate (folio 11 verso) from Milarepa,Georges Braque,744,"(French, 1882–1963)",(French),(1882),(1963),(Male),1950,Etching from an illustrated book with four aquatints (three with etching) and one etching,,The Louis E. Stern Collection,709.1964.3,Illustrated Book,Drawings & Prints,1964-10-06,N,22016,,,,,,15.8,,,30.0,,
Poster of the French National Railroad,Album-miscellaneous,101,(Various),(),(0),(0),(),1900-1943,,,Gift of the French National Railroads,65.1943.304,Design,Architecture & Design,1943-02-18,N,163123,,,,,,,,,,,
The Skull,Claudio Bravo,753,"(Chilean, 1936–2011)",(Chilean),(1936),(2011),(Male),1973,Conté crayon on paper,"35 3/8 x 27 7/8"" (90.0 x 70.8 cm)","Gift of Gloría Kirby, Madrid",264.1978,Drawing,Drawings & Prints,1978-04-04,Y,35749,http://www.moma.org/collection/works/35749,http://www.moma.org/media/W1siZiIsIjMwODA2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1486ecd10b801454,,,,89.9,,,70.8,,
"THE TOOTHACHE, plate LXXIV (supplementary suite) from LES ÂMES MORTES",Marc Chagall,1055,"(French, born Belarus. 1887–1985)",(French),(1887),(1985),(Male),1923-48,Etching,"plate: 11 x 8 7/16"" (28 x 21.5cm)",The Louis E. Stern Collection,749.1964.C85,Illustrated Book,Drawings & Prints,1964-10-06,N,22641,,,,,,28.0,,,21.5,,
Optimistic Box No. 3,Robert Filliou,1873,"(French, 1926–1987)",(French),(1926),(1987),(Male),1969,Multiple of a wooden box with printed chessboard,"Other (Wooden Box): 1 1/8 x 4 11/16 x 2 5/16"" (2.9 x 11.9 x 5.9 cm)",General Print Fund,926.2005.3,Multiple,Drawings & Prints,2005-10-25,N,102377,,,,5.9,,2.9,,,11.9,,
"Urban Proposal with Multi Thin-Shell Capsules, project (Exterior perspective and detail sketches)",Daniel Grataloup,42362,"(Swiss, born 1937)",(Swiss),(1937),(0),(Male),1970,Felt-tipped marker and pencil on paper,"11 3/4 x 8 1/4"" (29.8 x 21 cm)",Gift of the architect,1808.2012.87,Architecture,Architecture & Design,2012-10-15,Y,168746,http://www.moma.org/collection/works/168746,http://www.moma.org/media/W1siZiIsIjI2NjIxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=70ff5fd688feeb1d,,,,29.8450596901,,,20.9550419101,,
Composition (Composicão),Willys de Castro,8474,"(Brazilian, 1926–1988)",(Brazilian),(1926),(1988),(Male),1954,Oil on paper,"9 1/4 x 7 1/2"" (23.5 x 19 cm)",Latin American and Caribbean Fund through gift of Adriana Cisneros de Griffin,1392.2007,Drawing,Drawings & Prints,2007-12-11,Y,112136,http://www.moma.org/collection/works/112136,http://www.moma.org/media/W1siZiIsIjQzMjQwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=953e529e3743c978,,,,23.5,,,19.0,,
Sixth! Sixth! (Szósta! Szósta!) by Tadeusz Peiper,Wladyslaw Strzemiński,5700,"(Polish, born Russian Empire. 1893–1952)",(Polish),(1893),(1952),(Male),1925,Letterpress,"8 3/8 × 6 7/8"" (21.3 × 17.5 cm)","The Merrill C. Berman Collection. Acquired through the generosity of Alice and Tom Tisch, Jo Carole and Ronald S. Lauder, Sue and Edgar Wachenheim III, David Booth, Marlene Hess and James D. Zirin, Marie-Josée and Henry R. Kravis, Jack Shear, the Patricia Bonfield Endowed Acquisition Fund for the Design Collection, Daniel and Jane Och, The Orentreich Family Foundation, Emily Rauh Pulitzer, The Modern Women's Fund; and by exchange: Gift of Jean Dubuffet in honor of Mr. and Mrs. Ralph Colin, The Judith Rothschild Foundation Contemporary Drawings Collection, and the Richard S. Zeisler Bequest",701.2018,Design,Architecture & Design,2018-03-21,N,218659,,,,0.0,,21.2725425451,,,17.462534925099998,,
From Winters Gloom to Summers Joy,E. McKnight Kauffer,3020,"(American, 1890–1954)",(American),(1890),(1954),(Male),1927,Lithograph,"40 1/8 x 25"" (101.9 x 63.5 cm)",Gift of the designer,393.1939,Design,Architecture & Design,1939-05-22,Y,6825,http://www.moma.org/collection/works/6825,http://www.moma.org/media/W1siZiIsIjE2NTk1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dcc001cde541c947,,,,101.9177038354,,,63.5,,
Near Washington Square,Niles Spencer,5561,"(American, 1893–1952)",(American),(1893),(1952),(Male),c. 1928,Oil on canvas,"16 1/8 x 10 1/4"" (41 x 26 cm)",The Riklis Collection of McCrory Corporation,1072.1983,Painting,Painting & Sculpture,1985-10-25,Y,80534,http://www.moma.org/collection/works/80534,http://www.moma.org/media/W1siZiIsIjI0NjQ5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1b0e8645bc9a634a,,,,41.0,,,26.0,,
"Street Scene, New York",Walker Evans,1777,"(American, 1903–1975)",(American),(1903),(1975),(Male),1938,"Gelatin silver print, printed by James Dow","6 1/4 × 9 3/8"" (15.8 × 23.8 cm)",Purchase,421.2015,Photograph,Photography,2015-05-28,Y,187265,http://www.moma.org/collection/works/187265,http://www.moma.org/media/W1siZiIsIjM5Nzc3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8ec1e096565b28fe,,,,15.8,,,23.8,,
FIGURE,Misch Kohn,3193,"(American, 1916–2003)",(American),(1916),(2003),(Male),(July 24-August 2) 1961,"Lithograph, printed in color","sl. irreg. composition  24 5/8 x 16 1/8"" (62.5 x 41 cm)
sheet  30 1/8 x 22 3/8"" (76.5 x 56.8 cm)","Gift of Kleiner, Bell & Co.",891.1967,Print,Drawings & Prints,1967-12-13,N,74660,,,,,,62.5,,,41.0,,
Tailpiece (folio 20 verso) from LES AMOURS,Émile Bernard,511,"(French, 1868–1941)",(French),(1868),(1941),(Male),1915,"Woodcut, printed in color","irreg. composition  2 7/8 x 3 5/16"" (7.3 x 8.4 cm)",The Louis E. Stern Collection,679.1964.21,Illustrated Book,Drawings & Prints,1964-10-06,N,20849,,,,,,7.3,,,8.4,,
Small Girls Athletes Train. Costume design for the ballet Juke-Box,Tom Lee,3456,"(American, 1910–1971)",(American),(1910),(1971),(Male),1941,"Watercolor, pinned fabric, and pencil on paper","17 7/8 × 11 7/8"" (45.4 × 30.2 cm)",Gift of Lincoln Kirstein,284.1942.7,Drawing,Drawings & Prints,,Y,86158,http://www.moma.org/collection/works/86158,http://www.moma.org/media/W1siZiIsIjQ0NDE4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9eaad9a8de4ceaa5,,,,45.402590805200006,,,30.2,,
Hot Weather!,Lyonel Feininger,1832,"(American, 1871–1956)",(American),(1871),(1956),(Male),1954,Watercolor and pen and ink on paper,"8 x 11 1/8"" (20.3 x 28.3 cm)",Gift of Julia Feininger,153.1966,Drawing,Drawings & Prints,1966-02-08,Y,34853,http://www.moma.org/collection/works/34853,http://www.moma.org/media/W1siZiIsIjIwMzcwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=96998b41448486ca,,,,20.3200406401,,,28.3,,
Woman at the Tub (Femme au tub) from Elles,Henri de Toulouse-Lautrec,5910,"(French, 1864–1901)",(French),(1864),(1901),(Male),1896,One from a portfolio of twelve lithographs,"composition and sheet: 15 1/2 x 20 1/4"" (39.4 x 51.4 cm)",Gift of Abby Aldrich Rockefeller,170.1946.6,Print,Drawings & Prints,1946-07-11,Y,63513,http://www.moma.org/collection/works/63513,http://www.moma.org/media/W1siZiIsIjI3OTQ0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2d9444cb7c4801e4,,,,39.4,,,51.4,,
Untitled from Favorite Objects,Christian Boltanski,649,"(French, born 1944)",(French),(1944),(0),(Male),1998,One from a portfolio of 264 color Xeroxes,"composition: 10 13/16 x 8 5/16"" (27.4 x 21.1 cm); sheet: 11 x 8 9/16"" (28 x 21.7 cm)","Gift of Lee and Ann Fensterstock, in honor of their daughters, Kate and Jane",155.1999.243,Print,Drawings & Prints,1999-05-20,N,134170,,,,,,27.4,,,21.1,,
S16 from Les Levine LXVI,Les Levine,3514,"(American, born in Ireland 1935)",(American),(1935),(0),(Male),1965,"One from a portfolio of thirty-one photolithographs, offset printed","composition: 11 7/8 × 9 7/16"" (30.1 × 24 cm); sheet: 14 × 10 1/16"" (35.6 × 25.6 cm)",Gift of the Fischbach Gallery,22.1966.15,Print,Drawings & Prints,1966-01-11,Y,60156,http://www.moma.org/collection/works/60156,http://www.moma.org/media/W1siZiIsIjE4OTg2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=821a3cbe7a588bf1,,,,30.1,,,24.0,,
"Untitled (4 days, 3 nights, 1 summer)",Joey Kötting,25515,"(British, born 1966)",(British),(1966),(0),(Male),2001,,,Gift of Emily Fisher Landau,340.2002.1,Print,Drawings & Prints,2002-11-20,Y,144995,http://www.moma.org/collection/works/144995,http://www.moma.org/media/W1siZiIsIjIwNTc0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6f2ecc970ea251f5,,,,,,,,,
Untitled,John Brook,797,"(American, born 1924)",(American),(1924),(0),(Male),1960,Gelatin silver print (chloride),"9 5/8 × 7 3/4"" (24.5 × 19.5 cm)",Purchase,432.1960,Photograph,Photography,1960-11-30,Y,53295,http://www.moma.org/collection/works/53295,http://www.moma.org/media/W1siZiIsIjIxMzY2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b680cc8f71298071,,,,24.5,,,19.5,,
Portrait of Alice (frontispiece) from Alice in Wonderland,Marie Laurencin,3408,"(French, 1883–1956)",(French),(1883),(1956),(Female),1930,One from an illustrated book with six lithographs,"composition (irreg.): 7 7/8 × 9 1/4"" (20 × 23.5 cm); page: 9 5/8 × 11 7/16"" (24.4 × 29 cm)",Gift of Mrs. Stanley Resor,418.1958.1,Illustrated Book,Drawings & Prints,1959-03-02,Y,16928,http://www.moma.org/collection/works/16928,http://www.moma.org/media/W1siZiIsIjQzNDU1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=05c17d51b6c3f29f,,,,20.0,,,23.5,,
"Die Welt des grünen Kanarienvogels,",Martin Kippenberger,3111,"(German, 1953–1997)",(German),(1953),(1997),(Male),1991,"Artist's book, lithograph printed","page (each): 5 1/2 × 4"" (14 × 10.2 cm); overall (closed): 5 3/4 × 4 1/2 × 1 3/16"" (14.6 × 11.5 × 3 cm)",Committee on Drawings and Prints Fund and through the generosity of Philip E. Aarons and Shelley Fox Aarons,621.2015,Illustrated Book,Drawings & Prints,2015-06-03,Y,195174,http://www.moma.org/collection/works/195174,http://www.moma.org/media/W1siZiIsIjMzMjY0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=be6a90cbc4f4f67e,,,,14.0,,,10.2,,
"Hibakusha Tomitarō Shimotani, Nagasaki",Shomei Tomatsu,5895,"(Japanese, 1930–2012)",(Japanese),(1930),(2012),(Male),1961,Gelatin silver print,"13 × 18 3/4"" (33 × 47.6 cm)",Gift of the artist,403.1977,Photograph,Photography,1977-10-13,Y,52663,http://www.moma.org/collection/works/52663,http://www.moma.org/media/W1siZiIsIjIwNzYxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e023e9a4aa2b876a,,,,33.020066040100005,,,47.625095250200005,,
"Pendleton, Oregon",Joel Sternfeld,5656,"(American, born 1944)",(American),(1944),(0),(Male),June 1980,"Chromogenic color print, printed 1987","16 × 20"" (40.6 × 50.8 cm)",Gift of Beth Goldberg Nash and Joshua Nash,1247.2001.x1-x2,Photograph,Photography,2001-04-12,Y,82420,http://www.moma.org/collection/works/82420,http://www.moma.org/media/W1siZiIsIjM4NDE5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c90eecf54a2afc20,,,,40.6,,,50.8,,
"Tugendhat House, Brno, Czech Republic, Governess's room. Cabinet and built-in sink. Three sections.",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(Male),1928–1930,Pencil on tracing paper,"20 x 20 3/4"" (50.8 x 52.7 cm)","Mies van der Rohe Archive, gift of the architect
",MR2.153,Mies van der Rohe Archive,Architecture & Design,,Y,107139,http://www.moma.org/collection/works/107139,http://www.moma.org/media/W1siZiIsIjExNjY5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9c1e55e177d8d56d,,,,50.8001,,,52.7051,,
"Herman Miller Summer Picnic August 6, 1976",Stephen Frykholm,2019,"(American, born 1942)",(American),(1942),(0),(Male),1976,"Screen printed with lacquer ink, lacquer finish","39 1/2"" x 25"" (100.4 x 63.5 cm)",Gift of Ivan Chermayeff,264.1980,Design,Architecture & Design,1980-01-08,Y,5927,http://www.moma.org/collection/works/5927,http://www.moma.org/media/W1siZiIsIjQzMjgiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=21a8815de46eb4eb,,,,100.4,,,63.5,,
"A.K., Boston",Nicholas Nixon,4315,"(American, born 1947)",(American),(1947),(0),(Male),1985,Gelatin silver print,"7 5/8 × 9 5/8"" (19.5 × 24.5 cm)","Gift of the International Program, by exchange",114.1985,Photograph,Photography,1985-03-27,Y,46467,http://www.moma.org/collection/works/46467,http://www.moma.org/media/W1siZiIsIjIwMzciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=d5ebceface315765,,,,19.5,,,24.5,,
"Envelope for A Letter Always Arrives at Its Destination, La Panacée, Centre de culture contemporaine, Montpellier, France, July 18–November 16, 2014",Louise Lawler,7928,"(American, born 1947)",(American),(1947),(0),(Female),2014,Offset envelope,"sheet: 3 7/8 × 8 13/16"" (9.8 × 22.4 cm)",Anonymous gift,600.2016.45,Ephemera,Drawings & Prints,2016-06-08,Y,206098,http://www.moma.org/collection/works/206098,http://www.moma.org/media/W1siZiIsIjM3OTEwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0c65959040e001ca,,,,9.8,,,22.4,,
Landscape,Giorgio Morandi,4079,"(Italian, 1890–1964)",(Italian),(1890),(1964),(Male),1927,Etching,"plate: 7 9/16 x 10 1/8"" (19.2 x 25.7 cm); sheet: 11 x 17 11/16"" (28 x 44.9 cm)",Purchase,747.1956,Print,Drawings & Prints,1956-12-19,Y,73756,http://www.moma.org/collection/works/73756,http://www.moma.org/media/W1siZiIsIjE2NzY5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6de2865376c51cfa,,,,19.2,,,25.7,,
Šovinistička farsa (Chauvinistic Farce) (Poster for a play by Radoslav Pavlović),Mirko Ilić,47983,"(American, born Bosnia and Herzegovina, 1956)",(American),(1956),(0),(Male),1983,Silkscreen,"27 9/16 x 19 11/16"" (70 x 50 cm)",Gift of Krešimir Penavić,848.2015,Design,Architecture & Design,2015-06-04,Y,192398,http://www.moma.org/collection/works/192398,,,,,70.0,,,50.0,,
"Meyer Slein, 12-Year-Old Newsboy, St. Louis, Missouri",Lewis W. Hine,2657,"(American, 1874–1940)",(American),(1874),(1940),(Male),May 1910,Gelatin silver print,"4 1/2 × 2 13/16"" (11.4 × 7.2 cm)",Gift of Herbert Weller,466.2013,Photograph,Photography,2013-05-09,Y,168499,http://www.moma.org/collection/works/168499,http://www.moma.org/media/W1siZiIsIjI3MTkwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=571610e85b2b9e0d,,,,11.4,,,7.2,,
Woman Making up a Bed: Plate 436 from Animal Locomotion (1887),Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),(1830),(1904),(Male),1884-86,Collotype,"6 7/16 × 17 5/8"" (16.4 × 44.8 cm)",Gift of Mrs. Jane K. Murray,41.1944,Photograph,Photography,1944-03-13,N,44524,,,,,,16.4,,,44.8,,
Standing Female Figure,Max Weber,6275,"(American, born Russia. 1881–1961)",(American),(1881),(1961),(Male),1951-52,Woodcut,"composition: 4 3/16 x 1 7/8"" (10.7 x 4.7 cm); sheet: 7 x 4 1/2"" (17.8 x 11.4 cm)",Gift of the artist,469.1954,Print,Drawings & Prints,1954-09-30,Y,69665,http://www.moma.org/collection/works/69665,http://www.moma.org/media/W1siZiIsIjI2NDg1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6d15c2907ccf2192,,,,10.7,,,4.7,,
"New York Child (Juliet Auchincloss), New York",Irving Penn,4548,"(American, 1917–2009)",(American),(1917),(2009),(Male),1949,Gelatin silver print,"24 1/8 × 23 1/16"" (61.3 × 58.6 cm)",Gift of the artist,533.1961,Photograph,Photography,1962-01-09,N,54792,,,,,,61.3,,,58.6,,
Frontispiece from TAGEBÜCHER,Antonio Saura,5181,"(Spanish, 1930–1998)",(Spanish),(1930),(1998),(Male),1988,,"irreg. composition  11 5/8 x 9 7/16"" (29.6 x 24 cm)",Mary Ellen Meehan Fund,477.1990.1,Illustrated Book,Drawings & Prints,1990-10-23,N,17689,,,,,,29.6,,,24.0,,
Headpiece (page 12) from LA RÉVOLTE DES ANGES,Kees van Dongen,6077,"(French, 1877–1968)",(French),(1877),(1968),(Male),1946-1951,,"irreg. composition  8 9/16 x 7 3/16"" (21.8 x 18.3 cm)",The Louis E. Stern Collection,802.1964.5,Illustrated Book,Drawings & Prints,1964-10-06,N,24942,,,,,,21.8,,,18.3,,
"FLUXshoe, Croydon",,,,,,,,"January 15-26, 1973",3 loose sheets,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC3907,(not assigned),Fluxus Collection,2008-10-08,N,137894,,,,0.0,,0.0,,,0.0,,
"Benjamin Patterson, ""Variations for Double Bass"", performed by the artist Kleines Sommerfest: Après John Cage, Galerie Parnass, Wuppertal, West Germany, June 9, 1962",,,,,,,,"June 9, 1962",Gelatin silver print,,The Gilbert and Lila Silverman Fluxus Collection Gift,3619.2008.E12,Photograph,Drawings & Prints,2008-10-08,N,201567,,,,,,,,,,,
Hôtel de Roquelaure. Boulevard Saint-Germain 246,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(Male),1905-06,Albumen silver print,"Approx. 8 11/16 × 7 1/16"" (22 × 18 cm)",Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.4036,Photograph,Photography,1968-03-06,Y,42253,http://www.moma.org/collection/works/42253,http://www.moma.org/media/W1siZiIsIjI3ODYwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fd0d49071b9a9b17,,,,,,,,,
Untitled from The Nude,Carroll Dunham,1652,"(American, born 1949)",(American),(1949),(0),(Male),2011-12,One from a portfolio of fourteen etching and aquatints,"composition and sheet: 9 x 7"" (22.8 x 17.8 cm)",Gift of the Contemporary Arts Council of The Museum of Modern Art,68.2013.10,Print,Drawings & Prints,2013-02-07,Y,167081,http://www.moma.org/collection/works/167081,http://www.moma.org/media/W1siZiIsIjI2Njc3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=94ff9fc35ad725c6,,,,22.8,,,17.8,,
Untitled,Unknown photographer,8595,,(),(0),(0),(),1944,Gelatin silver print,"3 1/8 × 2 1/16"" (7.9 × 5.2 cm)
",Gift of Peter J. Cohen,477.2019,Photograph,Photography,2019-11-12,N,399974,,,,,,7.9,,,5.2,,
Das Neue Frankfurt letterhead (Letter to Albert Morancé from Joseph Gentner),Unknown Designer,6014,(German),(German),(0),(0),(),1928,Letterpress,"11 5/8 × 8 1/4"" (29.5 × 21 cm)","Elaine Lustig Cohen Collection, gift of Lawrence Benenson and the Committee on Architecture and Design Funds",1391.2015,Design,Architecture & Design,2015-10-19,Y,198358,http://www.moma.org/collection/works/198358,http://www.moma.org/media/W1siZiIsIjM0ODQzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e5b13ebcddea5c98,,,,29.527559055100003,,,20.9550419101,,
She-Goat,Pablo Picasso,4609,"(Spanish, 1881–1973)",(Spanish),(1881),(1973),(Male),"Vallauris, 1950 (cast 1952)",Bronze,"46 3/8 x 56 3/8 x 28 1/8"" (117.7 x 143.1 x 71.4 cm)
",Mrs. Simon Guggenheim Fund,611.1959,Sculpture,Painting & Sculpture,1959-04-22,Y,81670,http://www.moma.org/collection/works/81670,http://www.moma.org/media/W1siZiIsIjMxMDI5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6d747a86d426567f,,71.4376428753,,117.8,,,143.1927863856,,
Water Enclosure in Landscape I,Lauretta Vinciarelli,6168,"(Italian, 1943–2012)",(Italian),(1943),(2012),(Female),1986,Watercolor and colored pencil on paper,"23 1/2 × 22 1/4"" (59.7 × 56.5 cm)",Gift of Peter G. Rowe,688.2016,Architecture,Architecture & Design,2016-06-10,N,204152,,,,,,59.6901193802,,,56.515113030200006,,
No Problem - no problème,"Martin Kippenberger, Albert Oehlen","3111, 4375","(German, 1953–1997) (German, born 1954)",(German) (German),(1953) (1954),(1997) (0),(Male) (Male),1986,"Artist's book, lithograph printed","page (each): 7 13/16 × 5 3/16"" (19.9 × 13.1 cm); overall (closed): 7 13/16 × 5 7/16 × 3/16"" (19.9 × 13.8 × 0.4 cm)",Committee on Drawings and Prints Fund and through the generosity of Philip E. Aarons and Shelley Fox Aarons,564.2015,Illustrated Book,Drawings & Prints,2015-06-03,Y,195103,http://www.moma.org/collection/works/195103,http://www.moma.org/media/W1siZiIsIjMzMjY5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4f1eea135ee16dd8,,,,19.9,,,13.1,,
Nothing to Lose (The Book),Lawrence Weiner,6288,"(American, born 1942)",(American),(1942),(0),(Male),2000,"Video (color, sound)",3:30 min.,Acquired through the generosity of the Fuhrman Family Foundation,242.2013,Video,Media and Performance,2013-02-12,Y,167272,http://www.moma.org/collection/works/167272,http://www.moma.org/media/W1siZiIsIjI2MzMxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0bc0f00f2d4788db,,,,,,,,,210.0
Bath from The Nude Man,Beth Van Hoesen,2684,"(American, 1926–2010)",(American),(1926),(2010),(Female),1965,"Etching and aquatint from a book of twenty etchings (six with drypoint and six with aquatint), four drypoints, and one engraving","plate: 8 3/8 x 5 9/16"" (21.2 x 14.2 cm); sheet (irreg.): 14 15/16 x 11"" (38 x 28 cm)
",Gift of the E. Mark Adams and Beth Van Hoesen Adams Trust,753.2012.16,Print,Drawings & Prints,2012-05-22,N,163377,,,,,,21.2,,,14.2,,
Girl Children,Betye Saar,5102,"(American, born 1926)",(American),(1926),(0),(Female),1964,Etching,"plate: 17 11/16 × 13 9/16"" (44.9 × 34.5 cm); sheet: 19 5/16 × 15 3/16"" (49 × 38.5 cm)",The Candace King Weir Endowment for Women Artists,1179.2018,Print,Drawings & Prints,2018-11-05,Y,284134,http://www.moma.org/collection/works/284134,http://www.moma.org/media/W1siZiIsIjQ0MDg2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=95b9085d2c76d310,,,,44.9,,,34.5,,
